#title: Spectral profile - SDSSJ1000_CII_hires_pbcor.fits-raster
#region (world): Ellipse[[10:00:37.983, +02d08m20.492], [10:00:37.896, +02d08m21.806]]
#region (pixel): Ellipse[[285, 128], [372, 215]]
#coordinate: world
#xLabel: radio velocity [km/s]
#yLabel: [Jy/beam] Mean
#eLabel: [Jy/beam] rmse

# SDSSJ1000_CII_hires_pbcor.fits-raster
-6.000000000000e+02 0.000000000000e+00 0.000000000000e+00
-5.500000000000e+02 -2.927998219922e-05 2.199665650896e-03
-5.000000000000e+02 -1.061203604677e-04 1.971295211963e-03
-4.500000000000e+02 -4.048077581871e-05 2.052130319792e-03
-4.000000000000e+02 5.787101066804e-04 2.070225098712e-03
-3.500000000000e+02 2.616595154113e-04 2.237018691458e-03
-3.000000000000e+02 -3.943435439016e-04 2.405666942419e-03
-2.500000000000e+02 -1.453426847351e-04 2.152940375544e-03
-2.000000000000e+02 -3.369710307433e-04 2.205767497881e-03
-1.500000000000e+02 5.756879498810e-06 2.504363655786e-03
-1.000000000000e+02 2.485422461067e-04 2.247580158176e-03
-5.000000000000e+01 9.719941481684e-05 1.940381499901e-03
1.551017980717e-08 1.021539095881e-04 2.630204802510e-03
5.000000000000e+01 -2.266533333429e-04 2.627159958691e-03
1.000000000000e+02 3.131367414910e-04 2.836029902694e-03
1.500000000000e+02 3.919575400556e-04 3.232953940407e-03
2.000000000000e+02 3.276308632541e-04 2.957553527164e-03
2.500000000000e+02 2.296934534929e-04 2.918844600079e-03
3.000000000000e+02 -1.442402222718e-04 1.735915504891e-03
3.500000000000e+02 1.476076315418e-04 2.032167769634e-03
4.000000000000e+02 4.080693319547e-04 1.914283366528e-03
4.500000000000e+02 -1.478773574734e-04 2.126320463086e-03
5.000000000000e+02 1.723766557790e-04 1.668683727368e-03
5.500000000000e+02 -4.817294409202e-04 1.878032892737e-03
6.000000000000e+02 1.100973464688e-04 1.758268082209e-03
6.500000000000e+02 1.347847793941e-04 2.074415067020e-03
7.000000000000e+02 2.135648679843e-05 1.739699923177e-03
7.500000000000e+02 -2.473214572420e-05 1.714942179119e-03
8.000000000000e+02 -7.429711873564e-05 1.635114032208e-03
8.500000000000e+02 -2.088317225225e-04 2.349341265686e-03
9.000000000000e+02 1.420521803616e-04 3.349319855511e-03
9.500000000000e+02 5.669607193349e-04 3.491619514369e-03
1.000000000000e+03 -5.135926103156e-05 2.179888828820e-03
1.050000000000e+03 -1.440346011387e-04 3.208453330799e-03
1.100000000000e+03 1.495228927822e-04 2.098921398674e-03
1.150000000000e+03 -9.030523580086e-05 2.309748759304e-03
1.200000000000e+03 -4.477606628423e-04 2.299214233886e-03
1.250000000000e+03 6.833039083038e-06 2.190858945003e-03
1.300000000000e+03 2.132693034380e-04 1.970156882403e-03
1.350000000000e+03 3.974290082873e-04 1.932377430192e-03
1.400000000000e+03 1.737620317022e-04 2.059642651157e-03
1.450000000000e+03 5.055140571494e-05 1.631523329027e-03
1.500000000000e+03 6.927438409346e-05 1.762129867327e-03
1.550000000000e+03 1.089090756647e-04 2.045229770529e-03
1.600000000000e+03 1.586117521759e-04 1.974838469845e-03
1.650000000000e+03 1.522043885313e-05 1.991151904267e-03
1.700000000000e+03 4.192078685198e-05 2.012970066314e-03
1.750000000000e+03 2.921853725812e-05 2.092606882307e-03
1.800000000000e+03 2.620020633210e-05 2.142404419615e-03
1.850000000000e+03 2.849904136122e-04 2.160318238825e-03
1.900000000000e+03 -1.740297161746e-04 2.937167545590e-03
1.950000000000e+03 -4.681051297797e-04 1.869244425866e-03
2.000000000000e+03 2.007472163421e-04 1.906376690814e-03
2.050000000000e+03 -2.371582948557e-04 1.857977120911e-03
2.100000000000e+03 -1.071497625342e-04 1.716763220313e-03
2.150000000000e+03 -4.750114904955e-05 1.704474291697e-03
2.200000000000e+03 -6.498237262862e-05 1.986843441919e-03
2.250000000000e+03 3.089018908832e-04 1.932814809097e-03
2.300000000000e+03 4.196772774714e-04 2.081572393105e-03
2.350000000000e+03 1.091844919775e-05 2.194495543762e-03
2.400000000000e+03 1.034109716061e-04 2.590005759234e-03
2.450000000000e+03 3.224176507846e-06 1.747726523442e-03
2.500000000000e+03 -3.270810103800e-04 2.038180448066e-03
2.550000000000e+03 4.903960758915e-04 1.839089600177e-03
2.600000000000e+03 2.239734487819e-04 1.992726539847e-03
2.650000000000e+03 -3.234948669544e-04 2.001108026185e-03
