# ALMA, Llano de Chajnantor, alt. 5040m
# First column frequency in GHz.
# Following column(s) transmissions(s)
# First row PWVs
          0.26000  0.39000 
664.00000  0.72632  0.63797 
664.09998  0.72617  0.63789 
664.20001  0.72591  0.63770 
664.29999  0.72542  0.63732 
664.40002  0.72415  0.63624 
664.50000  0.71901  0.63176 
664.59998  0.72379  0.63600 
664.70001  0.72394  0.63617 
664.79999  0.72341  0.63574 
664.90002  0.72241  0.63490 
665.00000  0.72060  0.63333 
665.09998  0.71885  0.63182 
665.20001  0.71581  0.62918 
665.29999  0.71054  0.62458 
665.40002  0.70087  0.61610 
665.50000  0.68024  0.59799 
665.59998  0.62095  0.54588 
665.70001  0.51291  0.45093 
665.79999  0.65039  0.57181 
665.90002  0.68316  0.60063 
666.00000  0.70472  0.61962 
666.09998  0.71060  0.62481 
666.20001  0.71283  0.62679 
666.29999  0.71226  0.62630 
666.40002  0.70787  0.62246 
666.50000  0.69411  0.61036 
666.59998  0.63115  0.55502 
666.70001  0.66624  0.58588 
666.79999  0.69420  0.61048 
666.90002  0.71134  0.62556 
667.00000  0.71767  0.63114 
667.09998  0.72089  0.63398 
667.20001  0.72276  0.63563 
667.29999  0.72393  0.63667 
667.40002  0.72467  0.63732 
667.50000  0.72535  0.63793 
667.59998  0.72576  0.63830 
667.70001  0.72602  0.63853 
667.79999  0.72614  0.63864 
667.90002  0.72626  0.63874 
668.00000  0.72706  0.63945 
668.09998  0.72702  0.63941 
668.20001  0.72692  0.63933 
668.29999  0.72676  0.63919 
668.40002  0.72655  0.63900 
668.50000  0.72627  0.63876 
668.59998  0.72594  0.63846 
668.70001  0.72550  0.63808 
668.79999  0.72495  0.63759 
668.90002  0.72423  0.63695 
669.00000  0.72328  0.63611 
669.09998  0.72200  0.63498 
669.20001  0.72021  0.63341 
669.29999  0.71761  0.63111 
669.40002  0.71357  0.62755 
669.50000  0.70676  0.62156 
669.59998  0.69370  0.61006 
669.70001  0.66575  0.58548 
669.79999  0.57359  0.50442 
669.90002  0.54328  0.47776 
670.00000  0.67234  0.59125 
670.09998  0.69589  0.61195 
670.20001  0.70688  0.62161 
670.29999  0.71264  0.62666 
670.40002  0.71587  0.62948 
670.50000  0.71770  0.63108 
670.59998  0.71867  0.63192 
670.70001  0.71901  0.63221 
670.79999  0.71883  0.63204 
670.90002  0.71811  0.63139 
671.00000  0.71676  0.63019 
671.09998  0.71450  0.62819 
671.20001  0.71082  0.62494 
671.29999  0.70456  0.61942 
671.40002  0.69304  0.60927 
671.50000  0.66853  0.58771 
671.59998  0.59834  0.52599 
671.70001  0.52171  0.45862 
671.79999  0.60359  0.53058 
671.90002  0.67172  0.59045 
672.00000  0.69809  0.61357 
672.09998  0.70602  0.62052 
672.20001  0.70972  0.62376 
672.29999  0.71088  0.62476 
672.40002  0.70973  0.62373 
672.50000  0.70425  0.61889 
672.59998  0.70532  0.61980 
672.70001  0.70110  0.61607 
672.79999  0.65922  0.57926 
672.90002  0.70621  0.62052 
673.00000  0.71436  0.62766 
673.09998  0.71741  0.63031 
673.20001  0.71874  0.63146 
673.29999  0.71940  0.63202 
673.40002  0.71933  0.63193 
673.50000  0.71850  0.63117 
673.59998  0.71645  0.62935 
673.70001  0.71170  0.62515 
673.79999  0.69841  0.61344 
673.90002  0.62601  0.54983 
674.00000  0.70143  0.61604 
674.09998  0.71299  0.62618 
674.20001  0.71789  0.63045 
674.29999  0.72027  0.63250 
674.40002  0.72155  0.63360 
674.50000  0.72226  0.63419 
674.59998  0.72271  0.63456 
674.70001  0.72301  0.63479 
674.79999  0.72315  0.63488 
674.90002  0.72316  0.63486 
675.00000  0.72304  0.63473 
