v,s,insum,serr,vmod,smod,gaussian fit params,,
,,,,,,,,
-1094.9799,-0.0187,0,0.04588,-1094.9799,4.43E-06,-126.05897,v0,
-991.75238,-0.10681,0,0.04566,-1093.9799,4.51E-06,221.52155,sigma,
-888.54177,0.02499,0,0.04124,-1092.9799,4.60E-06,35.0671,area,
-785.34813,0.08364,0,0.03958,-1091.9799,4.70E-06,-0.0036,c0,full model is gaussian plus a linear baseline
-682.17152,0.0076,0,0.03335,-1090.9799,4.79E-06,-9.15E-06,c1,linear baseline is: c0 + c1*(v-v0)
-579.01201,-0.00207,1,0.03132,-1089.9799,4.88E-06,,,
-475.86965,0.00628,1,0.0319,-1088.9799,4.98E-06,,,
-372.74451,0.03037,1,0.03115,-1087.9799,5.08E-06,,,
-269.63665,0.07677,1,0.02785,-1086.9799,5.18E-06,,,
-166.54614,0.04033,1,0.02788,-1085.9799,5.28E-06,observed wavelength [um],,
-63.47303,0.05392,1,0.02961,-1084.9799,5.39E-06,178.56,,
39.5826,0.0648,1,0.03011,-1083.9799,5.49E-06,,,
142.6207,0.04836,1,0.02852,-1082.9799,5.60E-06,Integrated flux [Jy.km/s],,
245.64121,-0.02124,1,0.02814,-1081.9799,5.71E-06,29.11684,,
348.64405,-0.01521,1,0.03047,-1080.9799,5.82E-06,,,
451.62917,0.09093,0,0.03133,-1079.9799,5.94E-06,Integrated flux [W/m^2],,
554.59651,-0.03256,0,0.03004,-1078.9799,6.06E-06,1.63065E-18,,
657.54599,0.05553,0,0.03134,-1077.9799,6.17E-06,,,
760.47756,-0.0762,0,0.03689,-1076.9799,6.30E-06,,,
863.39116,-0.00428,0,0.0381,-1075.9799,6.42E-06,,,
966.28671,0.02884,0,0.03501,-1074.9799,6.54E-06,,,
1069.1642,-0.07237,0,0.0398,-1073.9799,6.67E-06,,,
1172.0234,0.06123,0,0.04538,-1072.9799,6.80E-06,,,
1274.8645,-0.03858,0,0.05269,-1071.9799,6.93E-06,,,
,,,,-1070.9799,7.07E-06,,,
,,,,-1069.9799,7.21E-06,,,
,,,,-1068.9799,7.35E-06,,,
,,,,-1067.9799,7.49E-06,,,
,,,,-1066.9799,7.63E-06,,,
,,,,-1065.9799,7.78E-06,,,
,,,,-1064.9799,7.93E-06,,,
,,,,-1063.9799,8.08E-06,,,
,,,,-1062.9799,8.24E-06,,,
,,,,-1061.9799,8.40E-06,,,
,,,,-1060.9799,8.56E-06,,,
,,,,-1059.9799,8.73E-06,,,
,,,,-1058.9799,8.89E-06,,,
,,,,-1057.9799,9.06E-06,,,
,,,,-1056.9799,9.24E-06,,,
,,,,-1055.9799,9.41E-06,,,
,,,,-1054.9799,9.59E-06,,,
,,,,-1053.9799,9.78E-06,,,
,,,,-1052.9799,9.96E-06,,,
,,,,-1051.9799,1.02E-05,,,
,,,,-1050.9799,1.03E-05,,,
,,,,-1049.9799,1.05E-05,,,
,,,,-1048.9799,1.07E-05,,,
,,,,-1047.9799,1.09E-05,,,
,,,,-1046.9799,1.12E-05,,,
,,,,-1045.9799,1.14E-05,,,
,,,,-1044.9799,1.16E-05,,,
,,,,-1043.9799,1.18E-05,,,
,,,,-1042.9799,1.20E-05,,,
,,,,-1041.9799,1.22E-05,,,
,,,,-1040.9799,1.25E-05,,,
,,,,-1039.9799,1.27E-05,,,
,,,,-1038.9799,1.30E-05,,,
,,,,-1037.9799,1.32E-05,,,
,,,,-1036.9799,1.34E-05,,,
,,,,-1035.9799,1.37E-05,,,
,,,,-1034.9799,1.40E-05,,,
,,,,-1033.9799,1.42E-05,,,
,,,,-1032.9799,1.45E-05,,,
,,,,-1031.9799,1.47E-05,,,
,,,,-1030.9799,1.50E-05,,,
,,,,-1029.9799,1.53E-05,,,
,,,,-1028.9799,1.56E-05,,,
,,,,-1027.9799,1.59E-05,,,
,,,,-1026.9799,1.62E-05,,,
,,,,-1025.9799,1.65E-05,,,
,,,,-1024.9799,1.68E-05,,,
,,,,-1023.9799,1.71E-05,,,
,,,,-1022.9799,1.74E-05,,,
,,,,-1021.9799,1.77E-05,,,
,,,,-1020.9799,1.80E-05,,,
,,,,-1019.9799,1.84E-05,,,
,,,,-1018.9799,1.87E-05,,,
,,,,-1017.9799,1.91E-05,,,
,,,,-1016.9799,1.94E-05,,,
,,,,-1015.9799,1.98E-05,,,
,,,,-1014.9799,2.01E-05,,,
,,,,-1013.9799,2.05E-05,,,
,,,,-1012.9799,2.09E-05,,,
,,,,-1011.9799,2.12E-05,,,
,,,,-1010.9799,2.16E-05,,,
,,,,-1009.9799,2.20E-05,,,
,,,,-1008.9799,2.24E-05,,,
,,,,-1007.9799,2.28E-05,,,
,,,,-1006.9799,2.33E-05,,,
,,,,-1005.9799,2.37E-05,,,
,,,,-1004.9799,2.41E-05,,,
,,,,-1003.9799,2.45E-05,,,
,,,,-1002.9799,2.50E-05,,,
,,,,-1001.9799,2.54E-05,,,
,,,,-1000.9799,2.59E-05,,,
,,,,-999.9799,2.64E-05,,,
,,,,-998.9799,2.68E-05,,,
,,,,-997.9799,2.73E-05,,,
,,,,-996.9799,2.78E-05,,,
,,,,-995.9799,2.83E-05,,,
,,,,-994.9799,2.88E-05,,,
,,,,-993.9799,2.93E-05,,,
,,,,-992.9799,2.98E-05,,,
,,,,-991.9799,3.04E-05,,,
,,,,-990.9799,3.09E-05,,,
,,,,-989.9799,3.15E-05,,,
,,,,-988.9799,3.20E-05,,,
,,,,-987.9799,3.26E-05,,,
,,,,-986.9799,3.32E-05,,,
,,,,-985.9799,3.37E-05,,,
,,,,-984.9799,3.43E-05,,,
,,,,-983.9799,3.49E-05,,,
,,,,-982.9799,3.56E-05,,,
,,,,-981.9799,3.62E-05,,,
,,,,-980.9799,3.68E-05,,,
,,,,-979.9799,3.75E-05,,,
,,,,-978.9799,3.81E-05,,,
,,,,-977.9799,3.88E-05,,,
,,,,-976.9799,3.95E-05,,,
,,,,-975.9799,4.02E-05,,,
,,,,-974.9799,4.09E-05,,,
,,,,-973.9799,4.16E-05,,,
,,,,-972.9799,4.23E-05,,,
,,,,-971.9799,4.30E-05,,,
,,,,-970.9799,4.38E-05,,,
,,,,-969.9799,4.45E-05,,,
,,,,-968.9799,4.53E-05,,,
,,,,-967.9799,4.61E-05,,,
,,,,-966.9799,4.69E-05,,,
,,,,-965.9799,4.77E-05,,,
,,,,-964.9799,4.85E-05,,,
,,,,-963.9799,4.94E-05,,,
,,,,-962.9799,5.02E-05,,,
,,,,-961.9799,5.11E-05,,,
,,,,-960.9799,5.20E-05,,,
,,,,-959.9799,5.29E-05,,,
,,,,-958.9799,5.38E-05,,,
,,,,-957.9799,5.47E-05,,,
,,,,-956.9799,5.56E-05,,,
,,,,-955.9799,5.66E-05,,,
,,,,-954.9799,5.75E-05,,,
,,,,-953.9799,5.85E-05,,,
,,,,-952.9799,5.95E-05,,,
,,,,-951.9799,6.05E-05,,,
,,,,-950.9799,6.15E-05,,,
,,,,-949.9799,6.26E-05,,,
,,,,-948.9799,6.36E-05,,,
,,,,-947.9799,6.47E-05,,,
,,,,-946.9799,6.58E-05,,,
,,,,-945.9799,6.69E-05,,,
,,,,-944.9799,6.80E-05,,,
,,,,-943.9799,6.92E-05,,,
,,,,-942.9799,7.04E-05,,,
,,,,-941.9799,7.15E-05,,,
,,,,-940.9799,7.27E-05,,,
,,,,-939.9799,7.39E-05,,,
,,,,-938.9799,7.52E-05,,,
,,,,-937.9799,7.64E-05,,,
,,,,-936.9799,7.77E-05,,,
,,,,-935.9799,7.90E-05,,,
,,,,-934.9799,8.03E-05,,,
,,,,-933.9799,8.17E-05,,,
,,,,-932.9799,8.30E-05,,,
,,,,-931.9799,8.44E-05,,,
,,,,-930.9799,8.58E-05,,,
,,,,-929.9799,8.72E-05,,,
,,,,-928.9799,8.86E-05,,,
,,,,-927.9799,9.01E-05,,,
,,,,-926.9799,9.16E-05,,,
,,,,-925.9799,9.31E-05,,,
,,,,-924.9799,9.46E-05,,,
,,,,-923.9799,9.62E-05,,,
,,,,-922.9799,9.77E-05,,,
,,,,-921.9799,9.93E-05,,,
,,,,-920.9799,0.0001,,,
,,,,-919.9799,0.0001,,,
,,,,-918.9799,0.0001,,,
,,,,-917.9799,0.00011,,,
,,,,-916.9799,0.00011,,,
,,,,-915.9799,0.00011,,,
,,,,-914.9799,0.00011,,,
,,,,-913.9799,0.00011,,,
,,,,-912.9799,0.00011,,,
,,,,-911.9799,0.00012,,,
,,,,-910.9799,0.00012,,,
,,,,-909.9799,0.00012,,,
,,,,-908.9799,0.00012,,,
,,,,-907.9799,0.00012,,,
,,,,-906.9799,0.00013,,,
,,,,-905.9799,0.00013,,,
,,,,-904.9799,0.00013,,,
,,,,-903.9799,0.00013,,,
,,,,-902.9799,0.00013,,,
,,,,-901.9799,0.00014,,,
,,,,-900.9799,0.00014,,,
,,,,-899.9799,0.00014,,,
,,,,-898.9799,0.00014,,,
,,,,-897.9799,0.00015,,,
,,,,-896.9799,0.00015,,,
,,,,-895.9799,0.00015,,,
,,,,-894.9799,0.00015,,,
,,,,-893.9799,0.00016,,,
,,,,-892.9799,0.00016,,,
,,,,-891.9799,0.00016,,,
,,,,-890.9799,0.00016,,,
,,,,-889.9799,0.00017,,,
,,,,-888.9799,0.00017,,,
,,,,-887.9799,0.00017,,,
,,,,-886.9799,0.00017,,,
,,,,-885.9799,0.00018,,,
,,,,-884.9799,0.00018,,,
,,,,-883.9799,0.00018,,,
,,,,-882.9799,0.00018,,,
,,,,-881.9799,0.00019,,,
,,,,-880.9799,0.00019,,,
